CWPName,SourceID,CWPStreet,CWPCity,CWPState,CWPZip,RegistryID,FacLat,FacLong,CWPTotalDesignFlowNmbr,CWPActualAverageFlowNmbr,CWPFacilityTypeIndicator,CWPFacilityTypeCode,NPDESIDs
" CHEMOURS CO FC LLC, THE DELISLE PLANT",MS0027294,7685 KILN DELISLE ROAD,PASS CHRISTIAN,MS,39571,1.10006E+11,30.389186,-89.308892,6.11,,NON-POTW,POF,MS0027294 MSR000922
 IOWA PARK WWTF,TX0052922,706 W CHESTNUT,IOWA PARK,TX,76367,1.10002E+11,33.941083,-98.678639,1,1,POTW,MWD,TX0052922
 LEO L. DUBOIS WPCF - BRIDGEWATER CORRECTION COMPLEX,MA0102237,15 ADMINISTRATIVE ROAD,BRIDGEWATER,MA,2324,1.10002E+11,41.955101,-70.959764,,0.5,NON-POTW,MWD,MA0102237
 PRINCE SPECIALTY PRODUCTS LLC,MD0001775,610 PITTMAN ROAD,BALTIMORE,MD,21226,1.10001E+11,39.19469,-76.56416,,0.16,NON-POTW,POF,MD0001775 MDR002531
" WIELAND ROLLED PRODUCTS NORTH AMERICA, LLC",CT0021873,215 PIEDMONT STREET,WATERBURY,CT,6706,1.10034E+11,41.534338,-73.032406,,,NON-POTW,POF,CT0021873 CTGSI2267 CTMIU0165 CTP001332
3M - COTTAGE GROVE,MN0001449,HIGHWAY 61 & COUNTY ROAD 19,COTTAGE GROVE,MN,55016,1.1E+11,44.789444,-92.908333,,12.1,NON-POTW,POF,MN0001449
3M CORDOVA,IL0003140,22614 ROUTE 84 NORTH,CORDOVA,IL,61242,1.10014E+11,41.755,-90.284167,,,NON-POTW,POF,IL0003140 ILR10I875
3M DECATUR,AL0000205,1400 STATE DOCKS RD,DECATUR,AL,35609-2206,1.1E+11,34.641667,-87.038611,,,NON-POTW,POF,AL0000205 ALR107384 ALR109172 ALR10BDS0 ALR10BHH1 ALR163347 ALR164821 ALR16D228 ALR16EDRP
3V SIGMA USA,SC0036111,888 WOODSTOCK ST,GEORGETOWN,SC,29440,1.1E+11,33.362222,-79.383056,,,NON-POTW,POF,SC0036111 SCR003026
40 ACRE FACILITY,TX0057843,3500 LOOP 197 S,GALVESTON COUNTY,TX,77590,1.10041E+11,29.353866,-94.913278,15.7,15.7,NON-POTW,POF,TX0057843
570 ADIT WASTE/TAILINGS SENATOR HIGHWAY,AZ0026514,NO ADDRESS ON FILE,UNKNOWN,AZ,85745,1.10071E+11,34.4277,-112.42973,0.041,,NON-POTW,POF,AZ0026514 AZMS81366
"585 CROSS CREEK, LLC/ROCKY RIVER PLANT",SC0000299,572 ROCKY RIVER PLANT RD,CALHOUN FALLS,SC,29628,1.10001E+11,34.139044,-82.613325,,,NON-POTW,POF,SC0000299
59TH STREET STEAM STATION,NY0005134,850 12TH AVE,MANHATTAN (SUBDIVISION),NY,10019,1.10065E+11,40.77075,-73.993694,,70.04,NON-POTW,POF,NY0005134
74TH STREET STEAM PLANT,NY0005177,506 EAST 75TH STREET,NEW YORK COUNTY,NY,10021,1.10019E+11,40.767978,-73.95114,,317.5,NON-POTW,POF,NY0005177
75TH ST WWTP,CO0024147,4049 N 75 ST,BOULDER,CO,80301,1.10013E+11,40.048596,-105.186653,25,,POTW,MWD,CO0024147 COG072107 COG650038 COR090019 COR900986
A.J. LAROCCA WASTEWATER TREATMENT FACILITY,IL0027367,333 SOUTH VILLA AVENUE,ADDISON,IL,60101,1.10018E+11,41.920908,-87.975131,8,3.2,POTW,MWD,IL0027367 ILL027367
ABBEVILLE LONG CANE CREEK WWTF,SC0040614,542 BROOKSIDE DRIVE,ABBEVILLE,SC,29620,1.10001E+11,34.155833,-82.345,,,POTW,CTG,SC0040614 SCL040614
"ABBEVILLE, CITY OF",LA0039748,1908 E. LAFAYETTE STREET,ABBEVILLE,LA,705111170,1.10001E+11,29.969882,-92.117076,1.6,,POTW,MWD,LA0039748 LAL039748
ABBVIE INC NORTH CHICAGO FACILITY,IL0001881,1401 SHERIDAN ROAD,NORTH CHICAGO,IL,60064,1.10041E+11,42.334501,-87.836115,,,NON-POTW,POF,IL0001881 ILP901042 ILR006192
ABC COKE,AL0003417,900 HUNTSVILLE AVENUE,BIRMINGHAM,AL,35217,1.1E+11,33.580769,-86.781281,,,NON-POTW,POF,AL0003417
ABERDEEN ADVANCED WWTP,MD0021563,60 N. PARKE STREET,ABERDEEN,MD,21001,1.1002E+11,39.51003,-76.15004,4,,POTW,MWD,MD0021563 MDL021563 MDR002142
